Andromeda;And;1;+38;4
Antlia;Ant;10.2;-35;3
Apus;Aps;16;-75;3
Aquarius;Aqr;22.3;-8;6
Aquila;Aql;19.7;+3;4
Ara;Ara;17.5;-53;4
Aries;Ari;2.8;+18.8;4
Auriga;Aur;5.6;+38;4
Bo?tes;Boo;14.7;+34;4
Caelum;Cae;4.8;-38;3
Camelopardalis;Cam;5.5;+75;5
Cancer;Cnc;8.7;+20;4
Canes Venatici;CVn;13;+40;4
Canis Major;CMa;6.5;-20;4
Canis Minor;CMi;7.5;+12;4
Capricornus;Cap;21;-16;4
Carina;Car;8.5;-64;5
Cassiopeia;Cas;0.5;+60.5;4
Centaurus;Cen;13.6;-45;5
Cepheus;Cep;23;+75;4
Cetus;Cet;1.7;-7;6
Chamaeleon;Cha;11;-79;4
Circinus;Cir;14.8;-62;4
Columba;Col;5.8;-35;4
Coma Berenices;Com;12.4;+22.5;4
Corona Australis;CrA;18.6;-42;3
Corona Borealis;CrB;15.8;+33;4
Corvus;Crv;12.4;-18;4
Crater;Crt;11.4;-16;4
Crux;Cru;13.2;-60.8;4
Cygnus;Cyg;19.95;+40.8;5
Delphinus;Del;20.5;+12;3
Dorado;Dor;5.1;-60;4
Draco;Dra;16.5;+72;5
Equuleus;Equ;21.2;+8;3
Eridanus;Eri;3.8;-30;6
Fornax;For;2.7;-32;4
Gemini;Gem;7;+20;4
Grus;Gru;22.5;-44;4
Hercules;Her;17.55;+30;5
Horologium;Hor;3.3;-53;4
Hydra;Hya;11.15;-15;10
Hydrus;Hyi;2.5;-70;4
Indus;Ind;21.5;-60;4
Lacerta;Lac;22.5;+46;4
Leo;Leo;10.8;+20;4
Leo Minor;LMi;10.3;+32;4
Lepus;Lep;5.6;-18;4
Libra;Lib;15.2;-17;4
Lupus;Lup;15.3;-41;4
Lynx;Lyn;8.2;+47;4
Lyra;Lyr;18.8;+37;3
Mensa;Men;5.7;-77;4
Microscopium;Mic;21.15;-37;3
Monoceros;Mon;6.7;-3.5;4
Musca;Mus;12.6;-70;4
Norma;Nor;16;-50;4
Octans;Oct;22;-85;4
Ophiucus;Oph;17.3;-9;6
Orion;Ori;5.8;+0;4
Pavo;Pav;19.5;-67;4
Pegasus;Peg;22.7;+20;6
Perseus;Per;3.6;+47;4
Phoenix;Phe;0.7;-49;5
Pictor;Pic;5.6;-54;4
Pisces;Psc;0.5;+14;6
Pisces Austrinus;PsA;22.3;-31;4
Puppis;Pup;7.6;-31;4
Pyxis;Pyx;8.95;-30;4
Reticulum;Ret;3.9;-60;3
Sagitta;Sge;19.6;+15;4
Sagittarius;Sgr;18.5;-27;4
Scorpius;Sco;16.8;-30;4
Sculptor;Scl;0.5;-32;5
Scutum;Sct;18.7;-10;3
Serpens;Ser;17.1;+2;6.5
Sextans;Sex;10.2;-1;4
Taurus;Tau;4.6;+18;4
Telescopium;Tel;19.3;-52;4
Triangulum;Tri;2.2;+33;4
Triangulum Australe;TrA;16;-65;3
Tucana;Tuc;23.7;-67;4
Ursa Major;UMa;11.5;+55;6
Ursa Minor;UMi;15;+78;4
Vela;Vel;9.6;-48;4
Virgo;Vir;13;+3;5
Volans;Vol;7.8;-70;4
Vulpecula;Vul;20.2;+25;4
