26.66965pts 7.29498pts 0.12494pts
18.88974pts 7.07994pts 0.12494pts
27.7397pts 7.29498pts 0.12494pts
37.77965pts 7.29498pts 0.12494pts
22.22974pts 7.07994pts 0.12494pts
38.32968pts 7.29498pts 2.2249pts
42.68954pts 7.29498pts 0.12494pts
6.52pts 4.86pts 1.89pts
9.99756pts 6.48453pts 0.0pts
9.99756pts 6.48453pts 0.0pts
9.99756pts 6.48453pts 0.0pts
9.99756pts 6.48453pts 0.0pts
9.99756pts 6.48453pts 0.0pts
40.02354pts 5.69995pts 1.77998pts
36.3836pts 5.69995pts 0.09193pts
6.45999pts 4.86pts 1.89pts
6.99998pts 7.01999pts 1.89pts
5.23999pts 7.01999pts 1.26pts
11.06958pts 8.16916pts 0.0pts
10.8196pts 8.16916pts 0.0pts
5.95999pts 7.01999pts 0.0pts
5.31999pts 4.86pts 0.0pts
5.95999pts 7.01999pts 0.0pts
6.45999pts 4.86pts 1.89pts
11.06958pts 8.16916pts 0.0pts
11.06958pts 8.16916pts 0.0pts
10.26959pts 8.16916pts 0.0pts
10.8196pts 8.16916pts 0.0pts
6.39pts 4.86pts 0.0pts
11.15959pts 8.16916pts 0.0pts
13.16959pts 8.16916pts 1.89pts
9.99756pts 6.48453pts 0.0pts
10.2596pts 8.16916pts 0.0pts
9.99756pts 6.48453pts 0.0pts
9.99756pts 6.48453pts 0.0pts
6.21999pts 4.86pts 0.0pts
5.81pts 4.86pts 0.0pts
6.45999pts 4.86pts 1.89pts
10.26959pts 8.16916pts 0.0pts
9.99756pts 6.48453pts 0.0pts
11.06958pts 8.16916pts 0.0pts
14.99634pts 6.48453pts 0.0pts
10.30959pts 8.16916pts 1.89pts
13.16959pts 8.16916pts 1.89pts
6.11pts 4.86pts 1.89pts
11.06958pts 8.16916pts 0.0pts
9.99756pts 6.48453pts 0.0pts
29.1838pts 5.69995pts 1.68393pts
21.38377pts 5.69995pts 0.09193pts
6.45999pts 4.86pts 1.89pts
6.45999pts 4.86pts 1.89pts
6.99998pts 7.01999pts 1.89pts
5.31999pts 4.86pts 0.0pts
6.52pts 4.86pts 1.89pts
5.87999pts 7.01999pts 1.26pts
5.84pts 7.01999pts 0.0pts
5.83pts 4.86pts 0.0pts
5.95999pts 7.01999pts 0.0pts
5.23999pts 7.01999pts 1.26pts
3.54pts 4.86pts 0.0pts
6.21999pts 4.86pts 0.0pts
6.45999pts 4.86pts 1.89pts
6.39pts 4.86pts 0.0pts
4.99878pts 6.48453pts 0.0pts
6.99998pts 4.86pts 0.0pts
6.45999pts 4.86pts 1.89pts
5.83pts 4.86pts 0.0pts
6.39pts 4.86pts 0.0pts
5.31999pts 4.86pts 0.0pts
9.99756pts 6.48453pts 0.0pts
5.87999pts 7.01999pts 1.26pts
9.99756pts 6.48453pts 0.0pts
0.0pts 0.0pts 0.0pts
3.54pts 4.86pts 0.0pts
5.23999pts 7.01999pts 1.26pts
23.55977pts 5.88399pts 0.16396pts
6.11pts 4.86pts 1.89pts
5.81pts 4.86pts 0.0pts
6.45999pts 4.86pts 1.89pts
10.2396pts 8.16916pts 0.0pts
6.63998pts 4.86pts 0.0pts
18.22382pts 5.69995pts 1.77998pts
5.31999pts 4.86pts 0.0pts
5.23999pts 7.01999pts 1.26pts
5.83pts 4.86pts 0.0pts
5.84pts 7.01999pts 0.0pts
7.15pts 4.86pts 0.0pts
3.54pts 4.86pts 0.0pts
6.99998pts 7.01999pts 1.89pts
5.31999pts 4.86pts 0.0pts
6.45999pts 4.86pts 1.89pts
6.52pts 4.86pts 1.89pts
5.23999pts 7.01999pts 1.26pts
6.45999pts 4.86pts 1.89pts
5.81pts 4.86pts 0.0pts
6.52pts 4.86pts 1.89pts
5.84pts 7.01999pts 0.0pts
6.99998pts 4.86pts 0.0pts
9.99756pts 6.48453pts 0.0pts
6.39pts 4.86pts 0.0pts
6.45999pts 4.86pts 1.89pts
11.15959pts 8.16916pts 0.0pts
9.99756pts 6.48453pts 0.0pts
5.95999pts 7.01999pts 0.0pts
9.99756pts 6.48453pts 0.0pts
5.83pts 4.86pts 0.0pts
9.73pts 4.86pts 0.0pts
11.15959pts 8.16916pts 0.0pts
3.54pts 4.86pts 0.0pts
0.0pts 0.0pts 0.0pts
20.11972pts 5.88399pts 0.16396pts
5.31999pts 4.86pts 0.0pts
5.84pts 7.01999pts 0.0pts
6.99998pts 7.01999pts 1.89pts
6.52pts 4.86pts 1.89pts
11.15959pts 8.16916pts 0.0pts
5.87999pts 7.01999pts 1.26pts
6.99998pts 4.86pts 0.0pts
9.73pts 4.86pts 0.0pts
11.15959pts 8.16916pts 0.0pts
7.15pts 4.86pts 0.0pts
10.8196pts 8.16916pts 0.0pts
4.99878pts 6.48453pts 0.0pts
6.45999pts 4.86pts 1.89pts
6.39pts 7.01999pts 0.0pts
6.45999pts 4.86pts 1.89pts
5.84pts 7.01999pts 0.0pts
9.99756pts 6.48453pts 0.0pts
10.30959pts 8.16916pts 1.26pts
3.54pts 4.86pts 0.0pts
5.81pts 4.86pts 0.0pts
10.8196pts 8.16916pts 0.0pts
0.0pts 0.0pts 0.0pts
6.99998pts 7.01999pts 1.89pts
6.11pts 4.86pts 1.89pts
5.23999pts 7.01999pts 1.26pts
9.99756pts 6.48453pts 0.0pts
10.64958pts 8.16916pts 0.0pts
5.23999pts 7.01999pts 1.26pts
5.84pts 7.01999pts 0.0pts
5.83pts 4.86pts 0.0pts
5.95999pts 7.01999pts 0.0pts
